size,doubling
1,3
2,4
3,12
4,13
5,27
6,28
7,29
8,30
9,56
10,57
11,58
12,59
13,60
14,61
15,62
16,63
17,113
18,114
19,115
20,116
21,117
22,118
23,119
24,120
25,121
26,122
27,123
28,124
29,125
30,126
31,127
32,128
33,226
34,227
35,228
36,229
37,230
38,231
39,232
40,233
41,234
42,235
43,236
44,237
45,238
46,239
47,240
48,241
49,242
50,243
51,244
52,245
53,246
54,247
55,248
56,249
57,250
58,251
59,252
60,253
61,254
62,255
63,256
64,257
65,451
66,452
67,453
68,454
69,455
70,456
71,457
72,458
73,459
74,460
75,461
76,462
77,463
78,464
79,465
80,466
81,467
82,468
83,469
84,470
85,471
86,472
87,473
88,474
89,475
90,476
91,477
92,478
93,479
94,480
95,481
96,482
97,483
98,484
99,485
100,486
101,487
102,488
103,489
104,490
105,491
106,492
107,493
108,494
109,495
110,496
111,497
112,498
113,499
114,500
115,501
116,502
117,503
118,504
119,505
120,506
121,507
122,508
123,509
124,510
125,511
126,512
127,513
128,514
129,900
130,901
131,902
132,903
133,904
134,905
135,906
136,907
137,908
138,909
139,910
140,911
141,912
142,913
143,914
144,915
145,916
146,917
147,918
148,919
149,920
150,921
151,922
152,923
153,924
154,925
155,926
156,927
157,928
158,929
159,930
160,931
161,932
162,933
163,934
164,935
165,936
166,937
167,938
168,939
169,940
170,941
171,942
172,943
173,944
174,945
175,946
176,947
177,948
178,949
179,950
180,951
181,952
182,953
183,954
184,955
185,956
186,957
187,958
188,959
189,960
190,961
191,962
192,963
193,964
194,965
195,966
196,967
197,968
198,969
199,970
200,971
201,972
202,973
203,974
204,975
205,976
206,977
207,978
208,979
209,980
210,981
211,982
212,983
213,984
214,985
215,986
216,987
217,988
218,989
219,990
220,991
221,992
222,993
223,994
224,995
225,996
226,997
227,998
228,999
229,1000
230,1001
231,1002
232,1003
233,1004
234,1005
235,1006
236,1007
237,1008
238,1009
239,1010
240,1011
241,1012
242,1013
243,1014
244,1015
245,1016
246,1017
247,1018
248,1019
249,1020
250,1021
251,1022
252,1023
253,1024
254,1025
255,1026
256,1027
257,1797
258,1798
259,1799
260,1800
261,1801
262,1802
263,1803
264,1804
265,1805
266,1806
267,1807
268,1808
269,1809
270,1810
271,1811
272,1812
273,1813
274,1814
275,1815
276,1816
277,1817
278,1818
279,1819
280,1820
281,1821
282,1822
283,1823
284,1824
285,1825
286,1826
