size,growbyone
1,3
2,4
3,11
4,20
5,31
6,44
7,59
8,76
9,95
10,116
11,139
12,164
13,191
14,220
15,251
16,284
17,319
18,356
19,395
20,436
21,479
22,524
23,571
24,620
25,671
26,724
27,779
28,836
29,895
30,956
31,1019
32,1084
33,1151
34,1220
35,1291
36,1364
37,1439
38,1516
39,1595
40,1676
41,1759
42,1844
43,1931
44,2020
45,2111
46,2204
47,2299
48,2396
49,2495
50,2596
51,2699
52,2804
53,2911
54,3020
55,3131
56,3244
57,3359
58,3476
59,3595
60,3716
61,3839
62,3964
63,4091
64,4220
65,4351
66,4484
67,4619
68,4756
69,4895
70,5036
71,5179
72,5324
73,5471
74,5620
75,5771
76,5924
77,6079
78,6236
79,6395
80,6556
81,6719
82,6884
83,7051
84,7220
85,7391
86,7564
87,7739
88,7916
89,8095
90,8276
91,8459
92,8644
93,8831
94,9020
95,9211
96,9404
97,9599
98,9796
99,9995
100,10196
101,10399
102,10604
103,10811
104,11020
105,11231
106,11444
107,11659
108,11876
109,12095
110,12316
111,12539
112,12764
113,12991
114,13220
115,13451
116,13684
117,13919
118,14156
119,14395
120,14636
121,14879
122,15124
123,15371
124,15620
125,15871
126,16124
127,16379
128,16636
129,16895
130,17156
131,17419
132,17684
133,17951
134,18220
135,18491
136,18764
137,19039
138,19316
139,19595
140,19876
141,20159
142,20444
143,20731
144,21020
145,21311
146,21604
147,21899
148,22196
149,22495
150,22796
151,23099
152,23404
153,23711
154,24020
155,24331
156,24644
157,24959
158,25276
159,25595
160,25916
161,26239
162,26564
163,26891
164,27220
165,27551
166,27884
167,28219
168,28556
169,28895
170,29236
171,29579
172,29924
173,30271
174,30620
175,30971
176,31324
177,31679
178,32036
179,32395
180,32756
181,33119
182,33484
183,33851
184,34220
185,34591
186,34964
187,35339
188,35716
189,36095
190,36476
191,36859
192,37244
193,37631
194,38020
195,38411
196,38804
197,39199
198,39596
199,39995
200,40396
201,40799
202,41204
203,41611
204,42020
205,42431
206,42844
207,43259
208,43676
209,44095
210,44516
211,44939
212,45364
213,45791
214,46220
215,46651
216,47084
217,47519
218,47956
219,48395
220,48836
221,49279
222,49724
223,50171
224,50620
225,51071
226,51524
227,51979
228,52436
229,52895
230,53356
231,53819
232,54284
233,54751
234,55220
235,55691
236,56164
237,56639
238,57116
239,57595
240,58076
241,58559
242,59044
243,59531
244,60020
245,60511
246,61004
