size,heapsort
150000,2979056
180000,3624089
210000,4275071
240000,4928340
270000,5588978
300000,6258361
330000,6932584
360000,7608534
390000,8287994
420000,8969454
450000,9653396
480000,10335178
510000,11023128
540000,11714632
570000,12413613
600000,13116291
630000,13820379
660000,14524416
690000,15229503
720000,15937337
750000,16647066
780000,17358274
810000,18066955
840000,18778013
870000,19493122
900000,20204465
930000,20919106
960000,21636000
990000,22352079
1020000,23063016
1050000,23779748
1080000,24509233
1110000,25238218
1140000,25969086
1170000,26700349
1200000,27430568
1230000,28164098
1260000,28897970
1290000,29632878
1320000,30367081
1350000,31105390
1380000,31838535
1410000,32578533
1440000,33313257
1470000,34055053
