size,heapsort
150000,145
180000,163
210000,215
240000,260
270000,313
300000,349
330000,411
360000,459
390000,503
420000,602
450000,635
480000,674
510000,767
540000,757
570000,830
600000,903
630000,956
660000,1011
690000,1051
720000,1148
750000,1182
780000,1248
810000,1357
840000,1377
870000,1517
900000,1603
930000,1673
960000,1737
990000,1850
1020000,1876
1050000,1968
1080000,2073
1110000,2125
1140000,2191
1170000,2292
1200000,2347
1230000,2437
1260000,2606
1290000,2597
1320000,2697
1350000,2730
1380000,2874
1410000,2927
1440000,2978
1470000,3179
