size,No Tail
0,0
500,0
1000,0
1500,0
2000,4
2500,8
3000,12
3500,16
4000,20
4500,24
5000,28
5500,40
6000,48
6500,52
7000,64
7500,72
8000,84
8500,96
9000,108
9500,124
10000,136
10500,152
11000,168
11500,183
12000,204
12500,217
13000,236
13500,256
14000,276
14500,296
size,With Tail
0,0
500,0
1000,0
1500,0
2000,4
2500,8
3000,8
3500,16
4000,16
4500,24
5000,32
5500,36
6000,44
6500,52
7000,64
7500,72
8000,84
8500,92
9000,104
9500,120
10000,136
10500,152
11000,168
11500,196
12000,204
12500,240
13000,236
13500,256
14000,276
14500,300
size,No Tail
0,0
500,0
1000,0
1500,0
2000,4
2500,4
3000,8
3500,12
4000,20
4500,24
5000,28
5500,40
6000,44
6500,52
7000,60
7500,72
8000,84
8500,96
9000,108
9500,124
10000,136
10500,152
11000,168
11500,183
12000,200
12500,220
13000,244
13500,257
14000,276
14500,296
size,With Tail
0,0
500,0
1000,0
1500,0
2000,0
2500,0
3000,0
3500,0
4000,0
4500,0
5000,0
5500,0
6000,0
6500,0
7000,0
7500,0
8000,0
8500,0
9000,0
9500,0
10000,0
10500,0
11000,0
11500,0
12000,0
12500,0
13000,0
13500,0
14000,0
14500,0
