size,quadruple
1,3
2,4
3,16
4,17
5,18
6,19
7,20
8,21
9,63
10,64
11,65
12,66
13,67
14,68
15,69
16,70
17,71
18,72
19,73
20,74
21,75
22,76
23,77
24,78
25,79
26,80
27,81
28,82
29,83
30,84
31,85
32,86
33,248
34,249
35,250
36,251
37,252
38,253
39,254
40,255
41,256
42,257
43,258
44,259
45,260
46,261
47,262
48,263
49,264
50,265
51,266
52,267
53,268
54,269
55,270
56,271
57,272
58,273
59,274
60,275
61,276
62,277
63,278
64,279
65,280
66,281
67,282
68,283
69,284
70,285
71,286
72,287
73,288
74,289
75,290
76,291
77,292
78,293
79,294
80,295
81,296
82,297
83,298
84,299
85,300
86,301
87,302
88,303
89,304
90,305
91,306
92,307
93,308
94,309
95,310
96,311
97,312
98,313
99,314
100,315
101,316
102,317
103,318
104,319
105,320
106,321
107,322
108,323
109,324
110,325
111,326
112,327
113,328
114,329
115,330
116,331
117,332
118,333
119,334
120,335
121,336
122,337
123,338
124,339
125,340
126,341
127,342
128,343
129,985
130,986
131,987
132,988
133,989
134,990
135,991
136,992
137,993
138,994
139,995
140,996
141,997
142,998
143,999
144,1000
145,1001
146,1002
147,1003
148,1004
149,1005
150,1006
151,1007
152,1008
153,1009
154,1010
155,1011
156,1012
157,1013
158,1014
159,1015
160,1016
161,1017
162,1018
163,1019
164,1020
165,1021
166,1022
167,1023
168,1024
169,1025
170,1026
171,1027
172,1028
173,1029
174,1030
175,1031
176,1032
177,1033
178,1034
179,1035
180,1036
181,1037
182,1038
183,1039
184,1040
185,1041
186,1042
187,1043
188,1044
189,1045
190,1046
191,1047
192,1048
193,1049
194,1050
195,1051
196,1052
197,1053
198,1054
199,1055
200,1056
201,1057
202,1058
203,1059
204,1060
205,1061
206,1062
207,1063
208,1064
209,1065
210,1066
211,1067
212,1068
213,1069
214,1070
215,1071
216,1072
217,1073
218,1074
219,1075
220,1076
221,1077
222,1078
223,1079
224,1080
225,1081
226,1082
227,1083
228,1084
229,1085
230,1086
231,1087
232,1088
233,1089
234,1090
235,1091
236,1092
237,1093
238,1094
239,1095
240,1096
241,1097
242,1098
243,1099
244,1100
245,1101
246,1102
247,1103
248,1104
249,1105
250,1106
251,1107
252,1108
253,1109
254,1110
255,1111
256,1112
257,1113
258,1114
259,1115
260,1116
261,1117
262,1118
263,1119
264,1120
265,1121
266,1122
267,1123
268,1124
269,1125
