size,times10
1,3
2,4
3,28
4,29
5,30
6,31
7,32
8,33
9,34
10,35
11,36
12,37
13,38
14,39
15,40
16,41
17,42
18,43
19,44
20,45
21,267
22,268
23,269
24,270
25,271
26,272
27,273
28,274
29,275
30,276
31,277
32,278
33,279
34,280
35,281
36,282
37,283
38,284
39,285
40,286
41,287
42,288
43,289
44,290
45,291
46,292
47,293
48,294
49,295
50,296
51,297
52,298
53,299
54,300
55,301
56,302
57,303
58,304
59,305
60,306
61,307
62,308
63,309
64,310
65,311
66,312
67,313
68,314
69,315
70,316
71,317
72,318
73,319
74,320
75,321
76,322
77,323
78,324
79,325
80,326
81,327
82,328
83,329
84,330
85,331
86,332
87,333
88,334
89,335
90,336
91,337
92,338
93,339
94,340
95,341
96,342
97,343
98,344
99,345
100,346
101,347
102,348
103,349
104,350
105,351
106,352
107,353
108,354
109,355
110,356
111,357
112,358
113,359
114,360
115,361
116,362
117,363
118,364
119,365
120,366
121,367
122,368
123,369
124,370
125,371
126,372
127,373
128,374
129,375
130,376
131,377
132,378
133,379
134,380
135,381
136,382
137,383
138,384
139,385
140,386
141,387
142,388
143,389
144,390
145,391
146,392
147,393
148,394
149,395
150,396
151,397
152,398
153,399
154,400
155,401
156,402
157,403
158,404
159,405
160,406
161,407
162,408
163,409
164,410
165,411
166,412
167,413
168,414
169,415
170,416
171,417
172,418
173,419
174,420
175,421
176,422
177,423
178,424
179,425
180,426
181,427
182,428
183,429
184,430
185,431
186,432
187,433
188,434
189,435
190,436
191,437
192,438
193,439
194,440
195,441
196,442
197,443
198,444
199,445
200,446
201,2648
202,2649
203,2650
204,2651
205,2652
206,2653
207,2654
208,2655
209,2656
210,2657
211,2658
212,2659
213,2660
214,2661
215,2662
216,2663
217,2664
218,2665
219,2666
220,2667
221,2668
222,2669
223,2670
224,2671
225,2672
226,2673
227,2674
228,2675
229,2676
230,2677
231,2678
232,2679
233,2680
234,2681
235,2682
236,2683
237,2684
238,2685
239,2686
240,2687
241,2688
242,2689
243,2690
244,2691
245,2692
246,2693
247,2694
248,2695
249,2696
250,2697
251,2698
252,2699
253,2700
254,2701
255,2702
256,2703
257,2704
258,2705
259,2706
260,2707
261,2708
262,2709
263,2710
264,2711
265,2712
266,2713
267,2714
268,2715
269,2716
270,2717
271,2718
272,2719
273,2720
274,2721
275,2722
276,2723
277,2724
278,2725
279,2726
280,2727
281,2728
